"student_id","student_name","email","age","dept_id","gender"
1,"Niyaz Khan","niyazkhan@gmail.com",22,1,"M"
3,"Student_3","student3@gmail.com",20,5,"F"
4,"Student_4","student4@gmail.com",30,8,"F"
5,"Student_5","student5@gmail.com",23,4,"M"
6,"Student_6","student6@gmail.com",17,6,"M"
7,"Student_7","student7@gmail.com",19,10,"F"
8,"Student_8","student8@gmail.com",23,8,"F"
9,"Student_9","student9@gmail.com",17,8,"F"
10,"Student_10","student10@gmail.com",23,5,"M"
11,"Student_11","student11@gmail.com",21,7,"F"
12,"Student_12","student12@gmail.com",29,9,"M"
13,"Student_13","student13@gmail.com",29,9,"M"
14,"Student_14","student14@gmail.com",24,7,"F"
15,"Student_15","student15@gmail.com",21,3,"F"
16,"Student_16","student16@gmail.com",23,4,"F"
17,"Student_17","student17@gmail.com",28,10,"M"
18,"Student_18","student18@gmail.com",28,3,"M"
19,"Student_19","student19@gmail.com",29,5,"M"
20,"Student_20","student20@gmail.com",25,1,"F"
21,"Student_21","student21@gmail.com",27,8,"M"
22,"Student_22","student22@gmail.com",28,6,"M"
23,"Student_23","student23@gmail.com",24,9,"F"
24,"Student_24","student24@gmail.com",19,2,"M"
25,"Student_25","student25@gmail.com",20,9,"M"
26,"Student_26","student26@gmail.com",21,2,"F"
27,"Student_27","student27@gmail.com",20,5,"M"
28,"Student_28","student28@gmail.com",17,2,"F"
29,"Student_29","student29@gmail.com",26,3,"M"
30,"Student_30","student30@gmail.com",28,5,"M"
31,"Student_31","student31@gmail.com",25,8,"F"
32,"Student_32","student32@gmail.com",17,9,"F"
33,"Student_33","student33@gmail.com",28,3,"M"
34,"Student_34","student34@gmail.com",22,7,"M"
35,"Student_35","student35@gmail.com",17,2,"F"
36,"Student_36","student36@gmail.com",17,4,"F"
37,"Student_37","student37@gmail.com",26,8,"M"
38,"Student_38","student38@gmail.com",24,6,"F"
39,"Student_39","student39@gmail.com",25,1,"M"
40,"Student_40","student40@gmail.com",30,7,"M"
41,"Student_41","student41@gmail.com",25,1,"M"
42,"Student_42","student42@gmail.com",19,7,"F"
43,"Student_43","student43@gmail.com",17,9,"F"
44,"Student_44","student44@gmail.com",25,6,"M"
45,"Student_45","student45@gmail.com",18,4,"M"
46,"Student_46","student46@gmail.com",30,7,"M"
47,"Student_47","student47@gmail.com",19,2,"F"
48,"Student_48","student48@gmail.com",18,6,"F"
49,"Student_49","student49@gmail.com",26,4,"F"
50,"Student_50","student50@gmail.com",18,1,"M"
51,"Student_51","student51@gmail.com",27,6,"F"
52,"Student_52","student52@gmail.com",30,2,"F"
53,"Student_53","student53@gmail.com",20,6,"F"
54,"Student_54","student54@gmail.com",23,3,"F"
55,"Student_55","student55@gmail.com",18,3,"F"
